ir,red
107773,98128
107801,98113
107786,98115
107799,98111
107787,98132
107778,98105
107802,98110
107770,98129
107791,98131
107812,98118
107811,98142
107831,98119
107846,98148
107828,98131
107843,98144
107859,98153
107873,98179
107894,98093
107894,98140
107945,98166
107919,98178
107963,98186
107978,98190
107980,98197
108052,98225
108043,98265
108029,98263
108072,98229
108113,98253
108118,98235
108153,98278
108181,98277
108195,98262
108229,98283
108265,98298
108304,98333
108290,98337
108336,98316
108355,98351
108387,98384
108408,98397
108432,98398
108436,98403
108450,98396
108514,98427
108535,98426
108560,98459
108584,98444
108615,98463
108608,98486
108628,98503
108699,98470
108689,98496
108733,98499
108749,98515
108784,98531
108804,98553
108828,98541
108834,98573
108850,98586
108884,98552
108909,98577
108919,98596
108953,98597
108940,98604
108979,98622
108994,98603
109014,98644
109012,98635
109059,98604
109044,98643
109070,98647
109095,98658
109100,98661
109151,98655
109143,98684
109160,98675
109180,98710
109221,98686
109213,98707
109266,98720
109256,98751
109291,98734
109312,98754
109329,98783
109345,98756
109387,98756
109399,98773
109406,98760
109420,98788
109426,98791
109463,98793
109451,98837
109459,98829
109430,98811
109463,98794
109436,98785
109401,98751
109370,98768
109309,98709
109189,98696
109103,98658
109052,98632
108936,98566
108802,98531
108712,98476
108582,98426
108465,98385
108333,98340
108252,98273
108100,98241
107967,98194
107866,98162
107772,98089
107627,98054
107561,98016
107474,97985
107363,97972
107267,97898
107212,97886
107153,97867
107087,97819
107053,97835
106992,97797
106942,97815
106939,97771
106961,97801
106937,97781
106914,97787
106916,97809
106928,97797
106926,97828
106934,97822
106966,97815
106957,97802
106994,97849
106999,97840
107047,97837
107082,97875
107089,97870
107087,97870
107112,97878
107105,97913
107140,97895
107206,97931
107193,97904
107206,97938
107258,97951
107257,97971
107286,97964
107318,97958
107401,97985
107395,98004
107457,98030
107460,98054
107536,98057
107569,98087
107602,98079
107657,98130
107668,98122
107714,98118
107735,98169
107735,98161
107792,98194
107809,98179
107829,98188
107857,98192
107868,98200
107875,98186
107901,98209
107911,98204
107868,98211
107896,98200
107890,98212
107914,98219
107897,98236
107902,98229
107897,98233
107907,98238
107912,98219
107926,98223
107926,98215
107930,98220
107950,98224
107950,98234
107962,98256
107973,98237
107991,98258
107995,98260
108024,98259
108026,98265
108081,98273
108065,98296
108081,98293
108085,98271
108110,98294
108135,98306
108171,98340
108163,98327
108203,98362
108237,98350
108277,98399
108323,98400
108339,98397
108340,98421
108375,98417
108391,98410
108415,98427
108434,98432
108500,98449
108502,98468
108522,98495
108562,98491
108593,98512
108588,98514
108649,98535
108685,98528
108725,98550
108718,98561
108762,98573
108777,98586
108815,98578
108824,98603
108872,98625
108890,98639
108927,98628
108939,98641
108970,98647
108972,98644
109030,98677
109061,98708
109038,98703
109097,98691
109118,98728
109132,98745
109155,98734
109171,98750
109194,98745
109201,98734
109221,98758
109220,98758
109246,98764
109272,98782
109309,98796
109324,98784
109290,98790
109366,98813
109366,98826
109369,98798
109402,98815
109436,98838
109456,98820
109436,98841
109506,98852
109480,98841
109514,98849
109569,98883
109563,98892
